epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,791.862,0,51.6009,0,0,0,0,0,0,56.7372,0,0.00124525,0.000415082,0.00124525,0.000415082,0.00124525,0.000415082,0.00124525,0.000415082
2,1286.96,0,27.4039,0,0,0,0,0,0,26.6572,0,0.00167182,0.000557272,0.00167182,0.000557272,0.00167182,0.000557272,0.00167182,0.000557272
3,1717.27,0,13.8561,0,0,0,0,0,0,14.6253,0,0.00127338,0.000424461,0.00127338,0.000424461,0.00127338,0.000424461,0.00127338,0.000424461
